89 1150
32 5 4672
15 33 7213
77 26 3084
73 56 6639
70 42 3277
39 29 6157
11 14 1913
49 43 4792
57 61 7955
6 41 8168
20 35 208
46 34 5384
88 82 3493
6 11 4098
37 55 8084
81 87 4255
85 53 9429
55 86 4042
1 86 5840
88 51 2500
4 5 6358
49 9 7439
1 58 7411
9 23 3398
18 3 3276
27 22 5740
53 30 2122
83 49 3072
70 38 3262
70 51 2120
76 46 3252
1 84 5948
27 55 6223
13 61 2594
46 68 2030
18 57 7358
63 44 5632
75 80 8011
11 59 649
82 53 1717
50 25 8153
80 56 2413
48 35 1535
83 20 1764
76 56 6769
22 66 729
74 26 8594
6 43 4742
16 30 1295
17 15 4772
26 62 3549
85 84 7065
63 25 6797
79 75 3083
75 51 9435
13 9 9426
56 77 544
34 1 9964
19 78 2062
83 38 1346
26 30 2991
71 43 9752
70 15 9102
56 69 471
89 74 1714
41 2 6492
26 2 4049
27 60 8982
78 64 10000
38 41 34
63 54 5953
29 83 5462
53 6 9086
84 37 1653
79 62 973
43 22 65
78 86 4817
43 13 4766
30 28 7112
77 37 2075
63 31 6400
43 48 6969
45 57 3044
72 1 7249
19 35 4217
43 40 9662
61 65 445
82 70 7703
68 6 1168
33 67 2101
60 48 6345
87 45 9185
69 17 5162
86 66 8369
86 57 9790
24 29 9365
47 39 9917
3 83 9609
41 68 9353
6 46 9228
75 54 5754
34 29 2608
7 36 9415
68 75 8547
76 16 8474
12 81 3648
12 71 2869
3 64 4824
81 30 9150
18 67 9209
24 54 8304
31 26 7169
37 62 2376
71 84 4655
57 44 4555
22 87 1047
76 61 9253
81 71 7367
42 26 9593
49 25 3085
24 21 643
23 7 8263
64 85 4334
81 61 4517
19 5 9643
3 1 7679
43 47 1702
19 79 8934
71 40 6447
10 38 4608
43 15 6750
57 51 5676
29 87 6842
70 45 9135
3 77 3726
78 54 9982
60 53 4339
79 87 6556
87 62 2101
62 80 6170
44 32 4432
66 54 6523
77 34 2657
5 61 6049
17 77 9161
44 82 9980
65 35 9206
47 15 9029
1 74 4130
63 83 1613
64 5 8157
78 7 2836
55 78 9465
63 73 3188
16 48 148
54 16 4549
51 76 7777
27 16 5213
37 35 3570
7 44 606
42 28 1722
7 5 2060
56 81 9410
74 60 3591
29 79 9185
3 22 6108
55 9 2193
9 16 8252
55 66 7473
72 82 2204
76 88 7406
61 62 9913
30 43 9227
68 66 7855
35 69 815
81 84 8375
16 89 1048
29 30 2818
77 31 9674
28 7 1710
31 24 619
28 4 8449
65 9 6056
35 75 2580
21 58 8964
78 29 7298
23 77 1249
10 76 3696
73 2 8453
83 22 7293
46 54 6513
42 30 5431
87 7 1951
16 8 5220
19 63 1667
36 9 5684
27 43 6610
26 55 2600
14 71 1049
67 52 5974
7 32 8730
71 35 7906
66 43 5238
29 19 7792
25 40 4284
59 61 228
27 11 3267
32 64 1819
26 52 2634
86 32 9809
81 13 3378
36 42 7703
7 62 3219
73 82 6010
12 49 4654
17 5 9703
55 88 1593
84 9 477
88 68 6870
84 80 6791
18 40 4414
